text_clean;polarity
projek the greater israel boleh ditamatkan jika ‘negara islam’ tak jadi boneka zionis  pemimpin negara islam sewajarnya mengambil ‘kesempatan’ daripada konflik palestinisrael ketika ini dengan menamatkan projek ‘israel raya’ the greater israel;negative
ini pengakuan jujur ulama  andai di posisi negara israel itu  bukan negara israel tapi negara lain seperti negara persia komunis kristen eropa mk konflik tidak akan terjadi  satunya alasan konflik adalah status negara tsb sebagai negara israel yang sangat dibenci oleh agama islam;negative
kamu harus tahu bahkan andai israel kembalikan penuh tanah palestina kepada negara arab israel tetap akan dibenci oleh negara arab  jadi konflik ini  bukan soal tanah tp soal agama agama islam yang menanamkan sentimen kebencian kepada israel  tanpa israel pny salah pun tetap dibenci arab;negative
syria konflik dengan israel lalu amerika membuat organisasi isis untuk menggulingkan presiden syria bashar assad media memframing dengan isu syiah membunuh suni  ini taktik adu domba ala penjajah eropa;negative
adalah negara yang sangat kaya akan kekayaan alamnya termasuk makanan lezat seperti kurma namun kita tidak boleh lupa bahwa ada konflik politik yang melibatkan israel dan palestina jadi sebaiknya kita tetap mempertahankan solidaritas;negative
perang di timur tengah selalu menjadi sorotan dunia dan isu yang paling sering mendapat perhatian adalah konflik antara palestina dan israel;negative
contoh pelanggaran ham yang masih terjadi sampai hari ini adalah konflik israel dan palestina;neutral
huh jelas jelas beda konflik apa kaitannya balas dendam juga toh myanmar dibeking rrc ama israel dan as lagi panas ama rrc ini masuk konflik asia pasifik ekspansi pengaruh rrc;negative
arab sebut israel mustahil menang di gaza palestina sumber;negative
konflik palestinisrael kekuatan pejuang hamas ditakuti askar zionis;negative
jamur  hasilnya sama saja kan walau sudah diprotes jutaan orang didunia  malah us lanjut ngebiayain israel logikamu jalan tidak sih kalau buat gerakin pemdanya saja nggak bisa gimana mau ngeberhentiin konflik yang usianya sudah  tahun;negative
abdullahs emang ini bukan video konflik palestina israel kok;neutral
dirjen who tedros adhanom ghebreyesus khawatir akan dampak konflik israel dan hamas terhadap kesehatan dia melaporkan tingginya penyakit diare dan infeksi saluran pernapasan di jalur gaza;negative
dia telah menjadi konflik antara dua sistem parti barat yang memonopoli kuasa kekuatan dan wang milik israel dan parti yang berjuang berjuang dan menentang yang barisan hadapannya adalah gaza dan perjuangan palestin;negative
perang tak kunjung usai ini sejarah konflik palestinaisrael;negative
ngomong di x kalau tanpa argumen dan literasi yang cukup  malah jadi bahan rujakanwkwkwkberarti menurut elu misal konflik israel dan palestina saya harus lihat dari sudut pandang israel  alias penjajahhahaha;negative
konflik palestinisrael majlis keselamatan pbb gagal – guterres;positive
agong kesal terhadap tindakan amerika syarikat as menggunakan kuasa vetonya menolak resolusi majlis keselamatan pertubuhan bangsabangsa bersatu unsc yang menggesa gencatan senjata segera dalam konflik israelpalestin;negative
dahlah un saja gagal buat ngambil keputusan untuk gencatan senjata di konflik israelpalestina atas dasar omong kosong veto us pemerintah indonesia masih mau koordinasi sama unhcr;negative
anak maut dibedil israel ketika keluar cari roti;negative
kemusnahan terhadap warisan budaya purba ketika konflik hamasisrael sejak  oktober lalu pastinya ‘tidak dapat diganti’  genting gaza merupakan hab perdagangan dan budaya di bawah pemerintahan mesir yunani rom serta byzantine kekal berpengaruh selama berabadabad  berikut…;negative
id kurang begitu peduli soal konflik myanmar taunya hanya aung san suu kyi dan perang saudara rebutan kekuasaankudeta  selain video pengungsi rohingya belum pernah lihat dpdv rohingya sebagai korban genosida  seringnya lihat korban genosida israel di platform media social lain;negative
meskipun sulit untuk menentukan sikap boikot produk israel dan embargo minyak bisa menjadi upaya potensial untuk menghentikan konflik;negative
konflik antara palestina dan israel tak kunjung usai menurut muhammad faizal alfian dosen hubungan internasional di universitas diponegoro keberadaan palestina sangat penting bagi negaranegara arab;negative
cara rendimr menyikapi konflik palestinaisrael;positive
artikel   dinamika solidaritas dan tantangan negaranegara arab di tengah eskalasi konflik palestina amp  israel;negative
konflik palestinisrael as lulus jualan senjata segera kepada israel;positive
membincang konflik palestina  israel di pon pes putri kudus;positive
kekhawatiran who terkait wabah penyakit di jalur gaza  dirjen who khawatir akan dampak konflik israel dan hamas terhadap kesehatan simak ulasan selengkapnya;negative
ri alasannya klasik karena indonesia tidak mengakui israel sebagai sebuah negarabukankah proses demokrasi suara terbanyak diambil mayoritas negara dunia mengakui israel kenapa indonesia tidak mau mengakuinya amp  memelihara konflikmemberi angin segar untuk teroris sprti hamas;negative
📌agong sokong pendirian kerajaan malaysia bantah kecam tindakan veto amerika syarikat tolak resolusi unsc bagi gencatan senjata rejim zionis dan palestin  📌agong seru rakyat berdoa ikut fahaman masingmasing agar konflik rejim zionis israelpalestin dapat dihentikan segera;negative
dunia sedang sibuk perang palestina israelmujahid hafidz kembali kerahmatullah dengan mulia kok bisanya dia kondisi nyaman nahan konflik nafsu birahi saja tidak mampu laa haulaa saya laa quwwata illaa billah;negative
ini kalau eksekusi secara hukum di masa damai ya lain cerita kalau eksekusi dalam perang seperti konflik israelpalestina ini tentu saja tanpa biaya main darderdor saja;negative
konspirasi pengungsi rohingya   unhcr lembaga pbb pbb iya memang milik semua negara didalamnya tapi kan yang nggeraki pbb negaranegara adikuasa  negara adikuasa geram karena indonesia netizen indonesia sangat mengganggu israel yang sedang konflik dengan palestina;negative
pks mendukung penyelesaian konflik palestinaisrael yang adil dan berkelanjutan melalui dialog dan diplomasi pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemua;negative
indonesia menegaskan pentingnya mempercepat bantuan kemanusiaan untuk warga jalur gaza yang terdampak konflik antara israel dan hamas palestina;negative
as desak israel tak serang warga sipil dan pers dalam konflik;negative
sekjen pbb sebut dewan keamanan pbb sudah rusak jadi tak bisa jalankan resolusi terkait konflik di gaza    terrorist;negative
setelah naiknya konflik rusiaukraina kemudian palestinaisrael kini giliran rohingya konflik ini sebenernya sudah lama tahun dan temasuk genosida hanya sampai sekarang belum ketemu jalan keluarnya apalagi saat ini pemerintah myanmar masih dikuasai militer;negative
menteri luar negeri retno marsudi mengatakan israel telah mengubah gaza menjadi bagaikan neraka setelah jumlah korban tewas akibat konflik israel dengan hamas terus bertambah;negative
