text_clean;polarity
liga arab saja sangt berhati dalam menanggapi konflik israelpalestina mrk tidak gelp mata bela palestina karena seiman;positive
kamu harus tahu;neutral
id mangkanya baca tong  kamu mau saja dibodohi sama oknum junta  kan  mereka juga tidak pernah makan saat konflik jangan samaratakan semuanya  nih lihat tragedi black september pengungsi palestina ingin menggulingkan pemerintahan raja jordania  👆 lebih parah mana  mau kok gituwahyusigo;negative
adalah negara yang sangat kaya akan kekayaan alamnya;negative
perang di timur tengah selalu menjadi sorotan dunia dan isu yang paling sering mendapat perhatian adalah konflik antara palestina dan israel  jasminejelita;negative
contoh pelanggaran ham yang masih terjadi sampai hari ini adalah konflik israel dan palestina     yasminnuha;neutral
waktu dia speak up tentang konflik gbs dukung  banyak buat rakyat palestina yang which is followersnya ada  jt💀💀 lgsng saya unfoll soalnya kalimatnya gaenak bgtserendivitiesz;positive
arab sebut israel mustahil menang di gaza palestina sumber;negative
yang masih bilang israhell palestina itu konflik agama mending instropeksi diri dah ini saja kaget aing keluarga saya ada yang pro israhell padahal noh namanya saya nya saja begitu bener cacat logika sangat;negative
rohingya datang setelah  mencuat pasti ada pemain dibelakang rohingya yang makin kenceng didatengin ke indonesia agen sono ingin selain timteng juga keruh;negative
sudah filmnya seperti begitu;neutral
sebenarnya tuh munahidin sana jauh lebih paham sih sama konflik di palestina dan isf bahkan menurut pengamat militer saja idf yang  mati sudah ribuan sementara mujahidin sejak dari  oktober;positive
abdullahs emang ini bukan video konflik palestina israel kok dikotilman;neutral
jhon  nama nya juga si pengoreng keyakinan orang kesempatan dia nih di konflik palestina;positive
perang tak kunjung usai;negative
ngomong di x kalau tanpa argumen dan literasi yang cukup;negative
dahlah;negative
konflik antara palestina dan israel tak kunjung usai menurut muhammad faizal alfian;negative
cara rendimr menyikapi konflik palestinaisraelsepatukeds;positive
artikel   dinamika solidaritas dan tantangan negaranegara arab di tengah eskalasi konflik palestina amp  israel;negative
rasuk terlibat dalam pembuatan album kompilasi  yang ditujukan untuk menyerukan gencatan senjata menyeluruh sebagai jalan menuju perdamaian konflik di palestina;negative
membincang konflik palestina  israel di pon pes putri kudus;positive
sistem veto di pbb is a joke begitu saja sampai kiamat resolusi  konflik mulai dari ukraina palestina selalu digagalkan ama pemegang hak vetorishinkaku;negative
dunia sedang sibuk perang palestina israelmujahid hafidz kembali kerahmatullah dengan mulia kok bisanya dia kondisi nyaman;positive
saya bersimpati pada semua korban sipil karena konflik politik di seluruh belahan bumi saya sndri tidak peduli dengan palestinarohingya dalam arti hal sprti itu sudah di tgan dirjen keimigrasian negara pny aturan;negative
kami mendukung upaya perdamaian yang menghormati hak rakyat palestina dan mengakhiri konflik yang telah berlangsung terlalu lama pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemuaagustinahanifaa;positive
ini kalau eksekusi secara hukum di masa damai;negative
konspirasi pengungsi rohingya   unhcr lembaga pbb;negative
kami mendukung upaya perdamaian yang menghormati hak rakyat palestina dan mengakhiri konflik yang telah berlangsung terlalu lama pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemuasheilanovii;positive
pks mendukung penyelesaian konflik palestinaisrael yang adil dan berkelanjutan melalui dialog dan diplomasi pilihpks nomer  partai keadilan sejahtera   pilihpksaja partaikitasemuamaliadesty;negative
indonesia menegaskan pentingnya mempercepat bantuan kemanusiaan untuk warga jalur gaza yang terdampak konflik antara israel dan hamas palestina;negative
setelah naiknya konflik rusiaukraina kemudian palestinaisrael kini giliran rohingya konflik ini sebenernya sudah lama tahun dan temasuk genosida hanya sampai sekarang belum ketemu jalan keluarnya;negative
menteri luar negeri retno marsudi mengatakan israel telah mengubah gaza menjadi bagaikan neraka setelah jumlah korban tewas akibat konflik israel dengan hamas;negative
in the year of our lord dan savior  masih aje nyebut ini konflik israelpalestinadetritivour;negative
sedang mengalami konflik yang sulit saya sebagai buzzer untuk temanteman saya;negative
kepala markas palang merah indonesia pmi pusat arifin m hadi menerima donasi kemanusiaan dari komunitas motor jakarta selatan peduli gaza palestina bagi masyarakat terdampak konflik di gaza;positive
yes;positive
seorang anak palestina yang meninggalkan rumah mereka akibat serangan israel;negative
zara terancam diboikot karena iklannya diduga bertema konflik palestina;neutral
id hanya bertanya;neutral
konflik itu semua diciptakan oleh mu wahai kaum zionis kalianlah yang menciptakan kondisi perang seperti ini dunia akan  damai  tanpa kehadiran zionisme palestina kacau karena kedatangan kalian kaum zionis dunia sudah  tahu semua keburukanmu  catat itu baik baikyuyu;negative
oh no anyway bagaimana cara menanggulangi konflik israelpalestina dalam perspektif sun tzunoerrakhmen;negative
kementerian luar negeri kemenlu berhasil mengevakuasi satu dari tiga warga negara indonesia wni bernama farid zanzabil al ayubi keluar dari gaza;positive
ini kasusnya emang mirip sama majalah times yang posting taylor swift sebagai people of the year;neutral
holland  fadhlan konflik di israel sudah  tahunan yang lalu dan baru naik beberapa bulan ini sebelumnya orang awam hanya tahu sekedar israelpalestina damai maka akan kiamatminmincha;negative
bnarkah disini ada  partai yang justru bersorak meski dengan penampakan wajah murung  pada  stiap trjadi konflik palestina israel   malah  sekarang  pngungsi rohingya karena nyatanya bisa diolah sebagai amunisi ntuk  mengintimidasi pmerintah dan bahan kampanye  pilpres partai  yang manakah itu exaexa;negative
iya memang pastinya ruwet konflik ini dan sudah dimulai sejak  sudah  tahun;negative
halo tidak mau menggurui saya dari lulusan smk seni lukis kuliah jurusan seni rupa dan sekarang jadi seniman campaign zara ini konsepnya photoshoot sculpture art studio objek utamanya patung menurutku ini hanya kebetulan saja pas  saat konflik palestina jadi visualnya sensitifgoldinfernal;positive
semoga yang masih jadi pejuang palestina julidnya tidak melipir ke arah yang salah prihatin dengan kondisi konflik yang menimpa saudara muslim juga di negara lain sebelum nanti suatu saat bisa saja muslim indonesia kena provokasi yang jahat dan jadi korban jgworldtalk;negative
hingga hari ini lebih dari  warga palestina meninggal dunia sejak replace konflik;neutral
 pendapat dunia tak akan sama lagi dalam memandang konflik palestina vs israel banyak warga negara barat dan dunia mulai tersadar bahwa  militer ziont brutal;negative
konflik palestina israel;neutral
soal nahr;neutral
akun ibu di indonesia yang ngehype konflik di palestina ini jadi agak melenceng ya captionnya kenapa jadi thirst ke para pejuang kemerdekaannya malu saja saya bacanya gatel bangethwallchii;negative
terlepas dari pro kontra masalah pengungsi kalau analogiin pengungsi r word sama konflik di palestina rasanya cacat logika yhdaeyjoubu;negative
konflik palestina kali ini benar² membuka mata saya;negative
biaya kemanusiaan konflik ini tinggi;positive
jika ke imanan kita masih berbicara tentang batas negara;negative
potret warga palestina yang telah kehilangan rumah;positive
weirdo concept that means nothing di tengahtengah konflik palestina like;positive
standar ganda konflik ukraine dan palestina  ketika rusia memulai “operasi militer khusus” di ukraina pada bulan februari tahun lalu;positive
ri  hamas ingin menghilangkan israel;negative
seorang patriot warga israel berbicara tentang pendudukan brutal israel terhadap palestina tidak ada konflik  israelpalestina yang ada hanyalah pendudukan brutal israel yang harus diakhiri jika terlihat seperti apartheid terdengar seperti apartheid itulah apartheidabahatufara;negative
benk benar sekalibahkan orangorang yang berada di amerika dan eropa sudah mulai sadar mereka selama ini termakan propaganda dan islamopobhiadan justru tersadarkan oleh konflik palestina;positive
hari ini seneng dah tadi pas di gereja pendetanya khotbah soal umat yahudi terus pendetanya nyinggung soal palestina dan dengan lantang beliau bilang ini sudah bukan soal konflik agama dan orang yahudi emang terkenal sebagai bangsa yang congkaksoleilgele;positive
tindakan amriki blawanan dari bullshitnya agar israhell mengurangi korban sipil semoga negara lain;negative
doa kami agar perdamaian segera terwujud dan konflik yang berkelanjutan di palestina segera berakhir  dukungan kami kepada rakyat palestina;positive
nusantara  christing           saya mengikuti perkembangan mazhab dan gerakan islam sejak;positive
x ada  lagi  harry sama miw getol sangat nyuruh copot ikon palestina karena tidak pro rohingya mereka nih juga penyebab konflik horizontal padahal palestina dan rohingya  masalah yang tidak bersinambunganlovingsyam;negative
dhani   eh;neutral
bukan karena perang;negative
wali   nadahq  eo  pignite     konflik ini  bukan soal israel  palestina  perebutan tanah;negative
bahkan inggris yang jadi biang keroknya konflik israelpalestina  malah abstaingungkrisna;negative
betul;neutral
lagi lagi inggris biangkerok dari permasalahan duniamulai dari konflik palestina israil;positive
resolusi untuk menghentikan pertumpahan darah di jalur gaza ini menunjukkan ketidakadilan dan ketidakseimbangan dalam perlakuan terhadap konflik israelpalestina kita harus terus mendukung palestina dalam perjuangannya untuk meraihyamelianda;neutral
saewad tahu tidak dengan selesainya konflik israel vs palestina maka akan segera datang kiamat kubro seperti yang tertulis di al qur andawamidrus;negative
ulasan yang baik disini bisa dilihat begitu banyak kepentingan mengapa palestina selalu konfliksunnydaay;positive
a  ri  iya bener indoesia tidak punya hub bilateral dengan israel tapi ngapain indonesia ngatur israel masalah konflik ini seolah indonesia segalanya bagi dua negara  kata israel  kamu siapa ngatur  indonesia  palestina saudara muslim kami israel robingya bukan saudara;negative
tahun ini;neutral
di sebut andil di konflik israelpalestina siapa rothschild sumber;positive
tapi beneran deh saya merasa di konflik palestina buat kali ini bener² banyak membuka mata masyarakat dunia;neutral
ak habis diberi kuliah  menit soal konflik palestina oleh prof abid harjunantojunhuissimp;positive
di replace mengikuti gerakan ini saya pikir hanya gerakan seperti biasa;negative
kalau mau dukung solidaritas kemanusiaan ya jangan cherry picking dong konflik ukrainerussia;positive
