text_clean;text_preprocessed;polarity_score;polarity
projek the greater israel boleh ditamatkan jika ‘negara islam’ tak jadi boneka zionis  pemimpin negara islam sewajarnya mengambil ‘kesempatan’ daripada konflik palestinisrael ketika ini dengan menamatkan projek ‘israel raya’ the greater israel;['projek', 'the', 'greater', 'israel', 'tamat', 'negara', 'islam', 'boneka', 'zionis', 'pimpin', 'negara', 'islam', 'wajar', 'ambil', 'sempat', 'konflik', 'palestinisrael', 'tamat', 'projek', 'israel', 'raya', 'the', 'greater', 'israel'];-25;negative
ini pengakuan jujur ulama  andai di posisi negara israel itu  bukan negara israel tapi negara lain seperti negara persia komunis kristen eropa mk konflik tidak akan terjadi  satunya alasan konflik adalah status negara tsb sebagai negara israel yang sangat dibenci oleh agama islam;['aku', 'jujur', 'ulama', 'andai', 'posisi', 'negara', 'israel', 'negara', 'israel', 'negara', 'negara', 'sia', 'komunis', 'kristen', 'eropa', 'mk', 'konflik', 'satu', 'alas', 'konflik', 'status', 'negara', 'tsb', 'negara', 'israel', 'benci', 'agama', 'islam'];-22;negative
kamu harus tahu bahkan andai israel kembalikan penuh tanah palestina kepada negara arab israel tetap akan dibenci oleh negara arab  jadi konflik ini  bukan soal tanah tp soal agama agama islam yang menanamkan sentimen kebencian kepada israel  tanpa israel pny salah pun tetap dibenci arab;['andai', 'israel', 'kembali', 'penuh', 'tanah', 'palestina', 'negara', 'arab', 'israel', 'benci', 'negara', 'arab', 'konflik', 'tanah', 'tp', 'agama', 'agama', 'islam', 'tanam', 'sentimen', 'benci', 'israel', 'israel', 'pny', 'salah', 'benci', 'arab'];-37;negative
syria konflik dengan israel lalu amerika membuat organisasi isis untuk menggulingkan presiden syria bashar assad media memframing dengan isu syiah membunuh suni  ini taktik adu domba ala penjajah eropa;['syria', 'konflik', 'israel', 'amerika', 'organisasi', 'isis', 'guling', 'presiden', 'syria', 'bashar', 'assad', 'media', 'memframing', 'isu', 'syiah', 'bunuh', 'suni', 'taktik', 'adu', 'domba', 'ala', 'jajah', 'eropa'];-26;negative
adalah negara yang sangat kaya akan kekayaan alamnya termasuk makanan lezat seperti kurma namun kita tidak boleh lupa bahwa ada konflik politik yang melibatkan israel dan palestina jadi sebaiknya kita tetap mempertahankan solidaritas;['negara', 'kaya', 'kaya', 'alam', 'makan', 'lezat', 'kurma', 'lupa', 'konflik', 'politik', 'libat', 'israel', 'palestina', 'tahan', 'solidaritas'];-7;negative
perang di timur tengah selalu menjadi sorotan dunia dan isu yang paling sering mendapat perhatian adalah konflik antara palestina dan israel;['perang', 'timur', 'sorot', 'dunia', 'isu', 'perhati', 'konflik', 'palestina', 'israel'];-6;negative
contoh pelanggaran ham yang masih terjadi sampai hari ini adalah konflik israel dan palestina;['contoh', 'langgar', 'ham', 'konflik', 'israel', 'palestina'];0;neutral
huh jelas jelas beda konflik apa kaitannya balas dendam juga toh myanmar dibeking rrc ama israel dan as lagi panas ama rrc ini masuk konflik asia pasifik ekspansi pengaruh rrc;['huh', 'beda', 'konflik', 'kait', 'balas', 'dendam', 'myanmar', 'beking', 'rrc', 'ama', 'israel', 'as', 'panas', 'ama', 'rrc', 'masuk', 'konflik', 'asia', 'pasifik', 'ekspansi', 'pengaruh', 'rrc'];-22;negative
arab sebut israel mustahil menang di gaza palestina sumber;['arab', 'israel', 'mustahil', 'menang', 'gaza', 'palestina', 'sumber'];-7;negative
konflik palestinisrael kekuatan pejuang hamas ditakuti askar zionis;['konflik', 'palestinisrael', 'kuat', 'juang', 'hamas', 'takut', 'askar', 'zionis'];-10;negative
