text_clean,text_preprocessed,polarity_score,polarity
liga arab saja sangt berhati dalam menanggapi konflik israelpalestina mrk tidak gelp mata bela palestina karena seiman,"['liga', 'arab', 'sangt', 'hati', 'tanggap', 'konflik', 'israelpalestina', 'mrk', 'gelp', 'mata', 'bela', 'palestina', 'iman']",1,positive
kamu harus tahu,[],0,neutral
id mangkanya baca tong  kamu mau saja dibodohi sama oknum junta  kan  mereka juga tidak pernah makan saat konflik jangan samaratakan semuanya  nih lihat tragedi black september pengungsi palestina ingin menggulingkan pemerintahan raja jordania  👆 lebih parah mana  mau kok gituwahyusigo,"['id', 'mangkanya', 'baca', 'tong', 'bodoh', 'oknum', 'junta', 'makan', 'konflik', 'samaratakan', 'nih', 'lihat', 'tragedi', 'black', 'september', 'ungsi', 'palestina', 'guling', 'perintah', 'raja', 'jordania', 'parah', 'gituwahyusigo']",-12,negative
adalah negara yang sangat kaya akan kekayaan alamnya,"['negara', 'kaya', 'kaya', 'alam']",-5,negative
perang di timur tengah selalu menjadi sorotan dunia dan isu yang paling sering mendapat perhatian adalah konflik antara palestina dan israel  jasminejelita,"['perang', 'timur', 'sorot', 'dunia', 'isu', 'perhati', 'konflik', 'palestina', 'israel', 'jasminejelita']",-6,negative
contoh pelanggaran ham yang masih terjadi sampai hari ini adalah konflik israel dan palestina     yasminnuha,"['contoh', 'langgar', 'ham', 'konflik', 'israel', 'palestina', 'yasminnuha']",0,neutral
waktu dia speak up tentang konflik gbs dukung  banyak buat rakyat palestina yang which is followersnya ada  jt💀💀 lgsng saya unfoll soalnya kalimatnya gaenak bgtserendivitiesz,"['speak', 'up', 'konflik', 'gbs', 'dukung', 'rakyat', 'palestina', 'which', 'is', 'followersnya', 'jt', 'lgsng', 'unfoll', 'kalimat', 'gaenak', 'bgtserendivitiesz']",1,positive
arab sebut israel mustahil menang di gaza palestina sumber,"['arab', 'israel', 'mustahil', 'menang', 'gaza', 'palestina', 'sumber']",-7,negative
yang masih bilang israhell palestina itu konflik agama mending instropeksi diri dah ini saja kaget aing keluarga saya ada yang pro israhell padahal noh namanya saya nya saja begitu bener cacat logika sangat,"['bilang', 'israhell', 'palestina', 'konflik', 'agama', 'mending', 'instropeksi', 'dah', 'kaget', 'aing', 'keluarga', 'pro', 'israhell', 'noh', 'nama', 'nya', 'bener', 'cacat', 'logika']",-16,negative
rohingya datang setelah  mencuat pasti ada pemain dibelakang rohingya yang makin kenceng didatengin ke indonesia agen sono ingin selain timteng juga keruh,"['rohingya', 'cuat', 'main', 'belakang', 'rohingya', 'kenceng', 'didatengin', 'indonesia', 'agen', 'sono', 'timteng', 'keruh']",-14,negative
sudah filmnya seperti begitu,['film'],0,neutral
sebenarnya tuh munahidin sana jauh lebih paham sih sama konflik di palestina dan isf bahkan menurut pengamat militer saja idf yang  mati sudah ribuan sementara mujahidin sejak dari  oktober,"['tuh', 'munahidin', 'paham', 'sih', 'konflik', 'palestina', 'isf', 'amat', 'militer', 'idf', 'mati', 'ribu', 'mujahidin', 'oktober']",4,positive
abdullahs emang ini bukan video konflik palestina israel kok dikotilman,"['abdullahs', 'emang', 'video', 'konflik', 'palestina', 'israel', 'dikotilman']",0,neutral
jhon  nama nya juga si pengoreng keyakinan orang kesempatan dia nih di konflik palestina,"['jhon', 'nama', 'nya', 'si', 'oreng', 'yakin', 'orang', 'sempat', 'nih', 'konflik', 'palestina']",8,positive
perang tak kunjung usai,"['perang', 'kunjung']",-6,negative
ngomong di x kalau tanpa argumen dan literasi yang cukup,"['ngomong', 'x', 'argumen', 'literasi']",-4,negative
dahlah,['dah'],-3,negative
konflik antara palestina dan israel tak kunjung usai menurut muhammad faizal alfian,"['konflik', 'palestina', 'israel', 'kunjung', 'muhammad', 'faizal', 'alfian']",-3,negative
cara rendimr menyikapi konflik palestinaisraelsepatukeds,"['rendimr', 'sikap', 'konflik', 'palestinaisraelsepatukeds']",2,positive
artikel   dinamika solidaritas dan tantangan negaranegara arab di tengah eskalasi konflik palestina amp  israel,"['artikel', 'dinamika', 'solidaritas', 'tantang', 'negaranegara', 'arab', 'eskalasi', 'konflik', 'palestina', 'amp', 'israel']",-5,negative
rasuk terlibat dalam pembuatan album kompilasi  yang ditujukan untuk menyerukan gencatan senjata menyeluruh sebagai jalan menuju perdamaian konflik di palestina,"['rasuk', 'libat', 'buat', 'album', 'kompilasi', 'seru', 'gencat', 'senjata', 'jalan', 'damai', 'konflik', 'palestina']",-9,negative
membincang konflik palestina  israel di pon pes putri kudus,"['bincang', 'konflik', 'palestina', 'israel', 'pon', 'pes', 'putri', 'kudus']",6,positive
sistem veto di pbb is a joke begitu saja sampai kiamat resolusi  konflik mulai dari ukraina palestina selalu digagalkan ama pemegang hak vetorishinkaku,"['sistem', 'veto', 'pbb', 'is', 'a', 'joke', 'kiamat', 'resolusi', 'konflik', 'ukraina', 'palestina', 'gagal', 'ama', 'pegang', 'hak', 'vetorishinkaku']",-5,negative
dunia sedang sibuk perang palestina israelmujahid hafidz kembali kerahmatullah dengan mulia kok bisanya dia kondisi nyaman,"['dunia', 'sibuk', 'perang', 'palestina', 'israelmujahid', 'hafidz', 'rahmatullah', 'mulia', 'bisa', 'kondisi', 'nyaman']",1,positive
